cohort,PMI,animal_within_PMI
model_development,0.5,1
model_development,0.5,4
model_development,0.5,5
model_development,0.5,6
model_development,0.5,7
model_development,0.5,8
model_development,0.5,9
model_development,0.5,10
model_development,1.0,1
model_development,1.0,2
model_development,1.0,3
model_development,1.0,5
model_development,1.0,6
model_development,1.0,7
model_development,1.0,9
model_development,1.0,10
model_development,2.0,1
model_development,2.0,2
model_development,2.0,3
model_development,2.0,4
model_development,2.0,5
model_development,2.0,6
model_development,2.0,9
model_development,2.0,10
model_development,3.0,2
model_development,3.0,3
model_development,3.0,4
model_development,3.0,5
model_development,3.0,6
model_development,3.0,7
model_development,3.0,9
model_development,3.0,10
model_development,6.0,2
model_development,6.0,3
model_development,6.0,4
model_development,6.0,5
model_development,6.0,6
model_development,6.0,7
model_development,6.0,8
model_development,6.0,9
model_development,12.0,1
model_development,12.0,2
model_development,12.0,5
model_development,12.0,6
model_development,12.0,7
model_development,12.0,8
model_development,12.0,9
model_development,12.0,10
model_development,18.0,1
model_development,18.0,3
model_development,18.0,4
model_development,18.0,5
model_development,18.0,7
model_development,18.0,8
model_development,18.0,9
model_development,18.0,10
model_development,24.0,1
model_development,24.0,2
model_development,24.0,4
model_development,24.0,5
model_development,24.0,7
model_development,24.0,8
model_development,24.0,9
model_development,24.0,10
modeled_time_test,0.5,2
modeled_time_test,0.5,3
modeled_time_test,1.0,4
modeled_time_test,1.0,8
modeled_time_test,2.0,7
modeled_time_test,2.0,8
modeled_time_test,3.0,1
modeled_time_test,3.0,8
modeled_time_test,6.0,1
modeled_time_test,6.0,10
modeled_time_test,12.0,3
modeled_time_test,12.0,4
modeled_time_test,18.0,2
modeled_time_test,18.0,6
modeled_time_test,24.0,3
modeled_time_test,24.0,6
unseen_time_test,0.33333,1
unseen_time_test,0.33333,2
unseen_time_test,4.0,1
unseen_time_test,4.0,2
unseen_time_test,11.0,1
unseen_time_test,11.0,2
unseen_time_test,20.0,1
unseen_time_test,20.0,2
