model_name,variant,strategy,beta,n_folds,Val_RMSE_mean,Val_RMSE_std,Val_MAE_mean,Val_MAE_std,Val_R2_mean,Val_R2_std
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.1,10,2.9468102,0.47837033867836,1.7561912775039672,0.3911897418992763,0.8686588108539581,0.043717366688746
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.2,10,3.079496,0.6341581344604492,1.736765193939209,0.4189014650492466,0.8545402705669403,0.0618744141010223
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.4,10,2.987467,0.3733066916465759,1.6576547384262086,0.3207986171437413,0.8662839770317078,0.0331990896446627
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.5,10,3.1470208,0.4101310670375824,1.8203498244285583,0.3844949192100146,0.8514392256736756,0.0387379023590237
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.6,10,3.013903,0.4831604361534118,1.6414756894111633,0.3457428249536111,0.8626888990402222,0.0429205551517433
OSB-MHA-APA-MOCE,simple_avg,no_masking,0.8,10,2.9612145,0.3752135932445526,1.6357730865478517,0.2863963019516864,0.8685723066329956,0.0327034205561784
OSB-MHA-APA-MOCE,simple_avg,no_masking,1.0,10,2.8547063,0.348965048789978,1.6583391547203064,0.3233772904440508,0.8779771149158477,0.0289628104942639
OSB-MHA-APA-MOCE,simple_avg,no_masking,2.0,10,2.8974946,0.4165888130664825,1.6646921634674072,0.4047520005842669,0.8736522972583771,0.0370688784875552
OSB-MHA-APA-MORM,simple_avg,random_masking,0.1,10,1.5967714,0.3543797433376312,0.8990135312080383,0.2072153399261145,0.960659509897232,0.0191676267941907
OSB-MHA-APA-MORM,simple_avg,random_masking,0.2,10,1.6572422,0.2830222249031067,0.9310986399650574,0.1870216672980291,0.958357071876526,0.0145176368774618
OSB-MHA-APA-MORM,simple_avg,random_masking,0.4,10,1.5167326,0.3279838263988495,0.8696951866149902,0.1905879688044934,0.964580863714218,0.0160144681214848
OSB-MHA-APA-MORM,simple_avg,random_masking,0.5,10,1.727409,0.3481058180332184,0.9780263781547548,0.1848629552455103,0.9543020486831664,0.0189907987429961
OSB-MHA-APA-MORM,simple_avg,random_masking,0.6,10,1.6286418,0.3960089683532715,0.911695832014084,0.2246092393532328,0.9587253749370576,0.0223841712152441
OSB-MHA-APA-MORM,simple_avg,random_masking,0.8,10,1.6172209,0.3466762006282806,0.9368802547454834,0.2034780060913751,0.9597602725028992,0.0181356360594166
OSB-MHA-APA-MORM,simple_avg,random_masking,1.0,10,1.6940291,0.465342104434967,1.007959985733032,0.3546462292387328,0.95472132563591,0.0272613558530078
OSB-MHA-APA-MORM,simple_avg,random_masking,2.0,10,1.6964792,0.3434942662715912,0.9487680196762084,0.2228153469515397,0.9559090912342072,0.0193850034152994
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.1,10,2.9637609,0.4324853420257568,1.736598002910614,0.3497898466497458,0.8677343010902405,0.0380463622858267
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.2,10,2.9897792,0.4240915477275848,1.810419762134552,0.3446084714545629,0.8655413031578064,0.0388025787805757
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.4,10,3.0402687,0.3600357174873352,1.7898131608963013,0.3610102173404719,0.8617109775543212,0.0324682591184003
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.5,10,3.0308025,0.3998873829841614,1.7100560784339904,0.3066128948857131,0.8621573925018311,0.0359112499218775
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.6,10,3.1310217,0.5494324564933777,1.8390487074851989,0.4855160352238921,0.8511458396911621,0.0545527410400412
OSB-MHA-AWA-MOCE,learned_weights,no_masking,0.8,10,2.948732,0.4161491096019745,1.629226815700531,0.3334958943353587,0.8692314803600312,0.0361887129935913
OSB-MHA-AWA-MOCE,learned_weights,no_masking,1.0,10,2.9327438,0.4707760214805603,1.6990185499191284,0.4144097321380421,0.8699765682220459,0.043939674096241
OSB-MHA-AWA-MOCE,learned_weights,no_masking,2.0,10,2.9347072,0.3787373304367065,1.598451662063599,0.3440287983226729,0.870846027135849,0.0323941701349024
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.1,10,1.5618151,0.2956424057483673,0.8730759143829345,0.1812774198393332,0.962798511981964,0.0146639032362541
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.2,10,1.581342,0.3148302137851715,0.8813945233821869,0.1558959767780014,0.9617359399795532,0.0153308344687599
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.4,10,1.6129293,0.3417649865150451,0.9275473654270172,0.1691808527841589,0.960010039806366,0.0170597816216354
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.5,10,1.5664091,0.3773378431797027,0.8855726599693299,0.215728425283615,0.9618551135063172,0.0197768664937568
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.6,10,1.6015537,0.4411410391330719,0.8754230201244354,0.2380816593899565,0.9595157563686372,0.0213615059477549
OSB-MHA-AWA-MORM,learned_weights,random_masking,0.8,10,1.646982,0.3286612629890442,0.9502973914146424,0.2028212491241623,0.9584867477416992,0.0160585679004761
OSB-MHA-AWA-MORM,learned_weights,random_masking,1.0,10,1.6324253,0.3346931040287018,0.906851303577423,0.1907125618943413,0.9591388285160064,0.0170780162163789
OSB-MHA-AWA-MORM,learned_weights,random_masking,2.0,10,1.6611389,0.2972510457038879,0.9209617495536804,0.1761129277676281,0.95805624127388,0.015066731538156
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.1,10,1.907007,0.4071802794933319,1.2153091490268708,0.3053231980956045,0.9440648436546326,0.0262393854673296
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.2,10,1.7842457,0.4307096600532532,1.1289695858955384,0.2414510449430645,0.9504977226257324,0.0253586665226859
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.4,10,1.8279097,0.4101284444332123,1.151238059997559,0.2402613453027031,0.948397570848465,0.0251579990710765
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.5,10,1.8896748,0.4293225109577179,1.195835328102112,0.2644040736785455,0.9447908043861388,0.0254654701327766
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.6,10,1.8118336,0.4866893589496612,1.1434679269790649,0.2706379990666517,0.9483490586280824,0.0311156900836704
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,0.8,10,1.7961283,0.4457773566246032,1.1483348250389098,0.2785311801074941,0.9496935427188872,0.0265540429080011
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,1.0,10,1.7986826,0.3955715596675873,1.1275097131729126,0.2263503739050761,0.9501195609569548,0.0237380415743412
OSB-WMHA-APA-MOCE,no_attention_simple_avg,no_masking,2.0,10,1.7985477,0.4200598299503326,1.1121503829956054,0.2546181662827494,0.9498611152172088,0.0241321593328866
OSB-WMHA-APA-MORM,no_attention_simple_avg,random_masking,0.1,10,1.6984609,0.3735473752021789,1.0549817979335785,0.2105843485411953,0.955523145198822,0.019409070602616
OSB-WMHA-APA-MORM,no_attention_simple_avg,random_masking,0.2,10,1.794215,0.3790193200111389,1.108685207366943,0.2316462815818032,0.9505271911621094,0.0205146508002184
OSB-WMHA-APA-MORM,no_attention_simple_avg,random_masking,0.4,10,1.7625889,0.3975679278373718,1.0903589308261872,0.2280366892233038,0.951997607946396,0.0225022536496431
OSB-WMHA-APA-MORM,no_attention_simple_avg,random_masking,0.5,10,1.7797697,0.3798484206199646,1.109738004207611,0.2290982647136022,0.951281601190567,0.0202949204630081
