fold,variant,beta,strategy,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2,reserveorgan-8-R2,reserveorgan-8-RMSE,reserveorgan-8-MAE,reserveorgan-7-R2,reserveorgan-7-RMSE,reserveorgan-7-MAE,reserveorgan-6-R2,reserveorgan-6-RMSE,reserveorgan-6-MAE,reserveorgan-5-R2,reserveorgan-5-RMSE,reserveorgan-5-MAE,reserveorgan-4-R2,reserveorgan-4-RMSE,reserveorgan-4-MAE,reserveorgan-3-R2,reserveorgan-3-RMSE,reserveorgan-3-MAE,reserveorgan-2-R2,reserveorgan-2-RMSE,reserveorgan-2-MAE,reserveorgan-1-R2,reserveorgan-1-RMSE,reserveorgan-1-MAE,is_best_beta,best_beta,model_name
1,no_attention,0.8,no_masking,0.27362397,0.2458859384059906,0.9988937973976135,1.4818614,1.0545178651809692,0.9675561785697937,2.8696308587096686,1.7812260389328003,0.8711960315704346,0.9206845760345459,2.2518541325881536,1.4935599565505981,0.9210274815559387,2.246981503399045,1.518472671508789,0.9086241126060486,2.4170035313812077,1.5713772773742676,0.9048831462860107,2.465983905464364,1.5688674449920654,0.9033166170120239,2.486207202449048,1.547066330909729,0.8453934788703918,3.143947836261179,1.9570162296295166,0.8661685585975647,2.925098619673267,1.8769179582595825,0.6994705200195312,4.383338393485239,2.7165303230285645,True,0.8,OSB-WMHA-AWA-MOCE
2,no_attention,0.8,no_masking,0.26135734,0.22754862904548645,0.9989907741546631,1.1540337,0.7842186689376831,0.9803232550621033,2.8448241165044306,1.8170474767684937,0.8734133243560791,0.9123504161834717,2.367207945681867,1.619757890701294,0.908703088760376,2.4159584871287714,1.6400353908538818,0.899071455001831,2.5402035071480102,1.668639898300171,0.8926218152046204,2.6201099988545162,1.694451093673706,0.8927708864212036,2.6182905463258366,1.6345486640930176,0.8554016947746277,3.0404860587293663,1.982388973236084,0.8709017038345337,2.8729079554598393,1.844449520111084,0.7554857134819031,3.9537895759775075,2.452108860015869,True,0.8,OSB-WMHA-AWA-MOCE
3,no_attention,0.8,no_masking,0.21873869,0.17756763100624084,0.9992930889129639,1.8547966,0.8387048244476318,0.9491713047027588,2.7457641577412515,1.726282000541687,0.8820756077766418,0.9342296123504639,2.0505797659580076,1.4497729539871216,0.9320870041847229,2.0837129882747485,1.4621211290359497,0.930019736289978,2.1151891758141166,1.4696316719055176,0.9223449230194092,2.228159656228386,1.490440845489502,0.9122487306594849,2.3685807260708485,1.5619628429412842,0.8947775363922119,2.5936760949325968,1.7189117670059204,0.8724980354309082,2.855090657680456,1.7616897821426392,0.6583994626998901,4.67326839425484,2.8957250118255615,True,0.8,OSB-WMHA-AWA-MOCE
4,no_attention,0.8,no_masking,0.16813861,0.1379171907901764,0.9995822906494141,1.7811171,0.9740139842033386,0.9531292915344238,2.7644365418785593,1.6967946290969849,0.8804662823677063,0.9291893243789673,2.127701668779461,1.3658818006515503,0.92777019739151,2.1489170718303683,1.3756804466247559,0.9227394461631775,2.2224930902809206,1.4055323600769043,0.9085031747817993,2.41860268314244,1.5351147651672363,0.9081825017929077,2.4228369986462726,1.5635658502578735,0.8697975873947144,2.885167429014272,1.8325903415679932,0.8961718082427979,2.5764346968379215,1.6436340808868408,0.6813764572143555,4.5133642325383665,2.8523571491241455,True,0.8,OSB-WMHA-AWA-MOCE
5,no_attention,0.8,no_masking,0.70328915,0.5744071006774902,0.992692232131958,2.4853318,1.1337710618972778,0.9087389707565308,2.7387371908051112,1.6671674251556396,0.8826784491539001,0.923959493637085,2.2048749534459438,1.311108112335205,0.9250707030296326,2.1887052213139357,1.3407914638519287,0.9142636656761169,2.3412290112093834,1.4063057899475098,0.9053699970245361,2.4596642485275546,1.4991201162338257,0.9218753576278687,2.234886484356963,1.424464464187622,0.871569037437439,2.8654728473634243,1.8005602359771729,0.8873790502548218,2.6833111254639888,1.81942880153656,0.7119401693344116,4.291437433040265,2.735560178756714,True,0.8,OSB-WMHA-AWA-MOCE
6,no_attention,0.8,no_masking,0.1827036,0.1415168046951294,0.9995068311691284,1.7770889,1.1202099323272705,0.9533410668373108,2.8434874025605437,1.7445495128631592,0.8735322952270508,0.9106054306030273,2.3906557168420814,1.5558253526687622,0.9071592092514038,2.4363007162734953,1.5757343769073486,0.9003612995147705,2.5239195938905343,1.5941717624664307,0.897154688835144,2.5642103674430063,1.607932686805725,0.8917217254638672,2.6310685265090537,1.5844061374664307,0.8550258278846741,3.0444355907295977,1.900673270225525,0.8566961884498596,3.0268458196858825,1.8159682750701904,0.7695338129997253,3.8385309282184568,2.3216850757598877,True,0.8,OSB-WMHA-AWA-MOCE
7,no_attention,0.8,no_masking,0.69248134,0.6024807691574097,0.9929150938987732,2.1062906,1.0826727151870728,0.9344529509544373,2.9861569502118988,1.944488286972046,0.8605231046676636,0.9168310761451721,2.305908190200668,1.6124234199523926,0.9193548560142517,2.270651772149889,1.6011741161346436,0.9113031029701233,2.381308659509356,1.6645522117614746,0.8896702527999878,2.6558760435869226,1.809049367904663,0.906004786491394,2.4514011230259523,1.668255090713501,0.833764374256134,3.2600442756969414,2.160578727722168,0.8632754683494568,2.9565459927859226,1.9935510158538818,0.6439806222915649,4.770877332637184,3.0463225841522217,True,0.8,OSB-WMHA-AWA-MOCE
8,no_attention,0.8,no_masking,0.5193141,0.4655773639678955,0.9960154891014099,1.9191575,1.2889922857284546,0.9455825686454773,2.7257090984579597,1.7248198986053467,0.883791983127594,0.9222138524055481,2.230039324734445,1.4110026359558105,0.9210041761398315,2.2473123180538814,1.447192668914795,0.9121121168136597,2.3704239780713134,1.5134730339050293,0.9078561663627625,2.4271386812854634,1.5461195707321167,0.9118231534957886,2.3743173722485746,1.5524741411209106,0.8558731079101562,3.035526208901712,1.9323593378067017,0.8842381238937378,2.720471418144009,1.824689507484436,0.755215048789978,3.955977183693717,2.5712482929229736,True,0.8,OSB-WMHA-AWA-MOCE
9,no_attention,0.8,no_masking,0.4319741,0.3507312834262848,0.9972430467605591,2.6822388,1.4774365425109863,0.8937053680419922,2.6520432314621476,1.6347274780273438,0.8899884223937988,0.9355749487876892,2.0294985923339293,1.3071913719177246,0.9350948929786682,2.03704652478998,1.3352317810058594,0.9275060892105103,2.1528422752754404,1.3914393186569214,0.9142041206359863,2.3420415118974574,1.4816741943359375,0.9235951900482178,2.2101505887608655,1.3753173351287842,0.856285035610199,3.0311848741594445,1.9131814241409302,0.8883943557739258,2.6711888017726446,1.73378586769104,0.7392529249191284,4.082923141948259,2.5399978160858154,True,0.8,OSB-WMHA-AWA-MOCE
10,no_attention,0.8,no_masking,0.45687371,0.4016023278236389,0.9969160556793213,1.7644631,1.1737326383590698,0.9540017247200012,2.8575784010657177,1.7990837097167969,0.872275710105896,0.9217981100082397,2.235991100252623,1.5255885124206543,0.9232852458953857,2.2146285556351915,1.5089668035507202,0.9166203737258911,2.3088272415565787,1.5357102155685425,0.8987866044044495,2.5437851399611864,1.645165205001831,0.9077640771865845,2.4283511298301392,1.5747255086898804,0.8509647846221924,3.0867815239658243,1.9009274244308472,0.8844289779663086,2.7182279063568635,1.8217616081237793,0.6745576858520508,4.561402907480877,2.879823923110962,True,0.8,OSB-WMHA-AWA-MOCE
