model_name,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2,reserveorgan-8-R2,reserveorgan-8-RMSE,reserveorgan-8-MAE,reserveorgan-7-R2,reserveorgan-7-RMSE,reserveorgan-7-MAE,reserveorgan-6-R2,reserveorgan-6-RMSE,reserveorgan-6-MAE,reserveorgan-5-R2,reserveorgan-5-RMSE,reserveorgan-5-MAE,reserveorgan-4-R2,reserveorgan-4-RMSE,reserveorgan-4-MAE,reserveorgan-3-R2,reserveorgan-3-RMSE,reserveorgan-3-MAE,reserveorgan-2-R2,reserveorgan-2-RMSE,reserveorgan-2-MAE,reserveorgan-1-R2,reserveorgan-1-RMSE,reserveorgan-1-MAE,best_beta
OSB-WMHA-AWA-MOCE,0.39,0.33,1.00,1.90,1.09,0.94,2.80,1.75,0.88,0.92,2.22,1.47,0.92,2.23,1.48,0.91,2.34,1.52,0.90,2.47,1.59,0.91,2.42,1.55,0.86,3.00,1.91,0.88,2.80,1.81,0.71,4.30,2.70,0.80
USB-MHA-AWA-MOCE,0.55,0.43,1.00,2.62,1.53,0.90,3.77,2.34,0.78,0.87,2.86,1.72,0.87,2.91,1.79,0.86,2.96,1.85,0.85,3.08,1.94,0.85,3.10,2.02,0.75,4.00,2.56,0.73,4.11,2.73,0.43,6.00,4.14,2.00
OSB-MHA-APA-MOCE,0.52,0.45,1.00,2.85,1.66,0.88,4.04,2.55,0.74,0.84,3.14,1.93,0.83,3.25,1.98,0.82,3.34,2.07,0.80,3.59,2.22,0.81,3.46,2.19,0.73,4.13,2.68,0.71,4.32,2.91,0.40,6.18,4.41,1.00
OSB-MHA-AWA-MOCE,0.64,0.53,0.99,2.93,1.70,0.87,4.13,2.61,0.73,0.83,3.26,2.00,0.82,3.34,2.04,0.81,3.47,2.14,0.79,3.67,2.27,0.80,3.59,2.28,0.71,4.25,2.76,0.70,4.37,2.96,0.39,6.22,4.42,1.00
USB-WMHA-AWA-MOCE,0.30,0.25,1.00,1.66,0.94,0.96,2.68,1.55,0.89,0.92,2.19,1.27,0.92,2.22,1.31,0.91,2.41,1.41,0.91,2.39,1.39,0.91,2.40,1.39,0.88,2.79,1.68,0.89,2.63,1.64,0.76,3.94,2.34,1.00
OSB-WMHA-APA-MOCE,0.49,0.40,1.00,1.78,1.13,0.95,2.79,1.85,0.88,0.92,2.23,1.57,0.92,2.28,1.60,0.91,2.36,1.64,0.90,2.50,1.72,0.90,2.52,1.66,0.86,2.94,1.97,0.87,2.91,1.98,0.73,4.11,2.67,0.20
USB-MHA-APA-MOCE,0.73,0.60,0.99,2.71,1.62,0.89,4.01,2.56,0.75,0.86,2.97,1.88,0.85,3.06,1.97,0.84,3.15,2.04,0.83,3.29,2.14,0.83,3.30,2.22,0.71,4.28,2.80,0.69,4.43,2.99,0.36,6.39,4.44,0.40
USB-WMHA-APA-MOCE,0.40,0.32,1.00,1.62,1.01,0.96,2.72,1.68,0.88,0.92,2.24,1.41,0.92,2.30,1.46,0.90,2.48,1.55,0.90,2.46,1.53,0.90,2.57,1.55,0.87,2.86,1.81,0.88,2.81,1.82,0.78,3.75,2.32,0.40
OSB-WMHA-AWA-MORM,0.54,0.37,0.99,1.61,0.97,0.96,2.56,1.62,0.90,0.93,2.08,1.36,0.93,2.10,1.38,0.92,2.21,1.43,0.92,2.33,1.48,0.91,2.34,1.47,0.89,2.68,1.71,0.89,2.64,1.73,0.78,3.71,2.37,0.20
USB-MHA-AWA-MORM,0.66,0.26,0.99,1.43,0.76,0.97,2.90,1.63,0.87,0.90,2.48,1.32,0.90,2.50,1.36,0.88,2.72,1.48,0.88,2.74,1.45,0.88,2.73,1.50,0.85,3.10,1.76,0.86,2.94,1.75,0.78,3.77,2.39,0.40
