checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold1.pth,modeled_time_test,0.5,2,Brain,0.14280365407466888
fold1.pth,modeled_time_test,0.5,3,Brain,0.1423194855451584
fold1.pth,modeled_time_test,1.0,4,Brain,0.14272496104240417
fold1.pth,modeled_time_test,1.0,8,Brain,0.14277061820030212
fold1.pth,modeled_time_test,2.0,7,Brain,0.1415562927722931
fold1.pth,modeled_time_test,2.0,8,Brain,0.14163468778133392
fold1.pth,modeled_time_test,3.0,1,Brain,0.1412162482738495
fold1.pth,modeled_time_test,3.0,8,Brain,0.14272111654281616
fold1.pth,modeled_time_test,6.0,1,Brain,0.1428399533033371
fold1.pth,modeled_time_test,6.0,10,Brain,0.14263787865638733
fold1.pth,modeled_time_test,12.0,3,Brain,0.14110016822814941
fold1.pth,modeled_time_test,12.0,4,Brain,0.14133372902870178
fold1.pth,modeled_time_test,18.0,2,Brain,0.14144408702850342
fold1.pth,modeled_time_test,18.0,6,Brain,0.14176253974437714
fold1.pth,modeled_time_test,24.0,3,Brain,0.125
fold1.pth,modeled_time_test,24.0,6,Brain,0.1250338852405548
fold1.pth,unseen_time_test,0.33333,1,Brain,0.1426924169063568
fold1.pth,unseen_time_test,0.33333,2,Brain,0.14261411130428314
fold1.pth,unseen_time_test,4.0,1,Brain,0.14255204796791077
fold1.pth,unseen_time_test,4.0,2,Brain,0.14250847697257996
fold1.pth,unseen_time_test,11.0,1,Brain,0.1425725221633911
fold1.pth,unseen_time_test,11.0,2,Brain,0.14275707304477692
fold1.pth,unseen_time_test,20.0,1,Brain,0.14272655546665192
fold1.pth,unseen_time_test,20.0,2,Brain,0.12500867247581482
fold10.pth,modeled_time_test,0.5,2,Brain,0.14240913093090057
fold10.pth,modeled_time_test,0.5,3,Brain,0.12532846629619598
fold10.pth,modeled_time_test,1.0,4,Brain,0.13722094893455505
fold10.pth,modeled_time_test,1.0,8,Brain,0.14088235795497894
fold10.pth,modeled_time_test,2.0,7,Brain,0.14206431806087494
fold10.pth,modeled_time_test,2.0,8,Brain,0.13914255797863007
fold10.pth,modeled_time_test,3.0,1,Brain,0.1422726809978485
fold10.pth,modeled_time_test,3.0,8,Brain,0.13909243047237396
fold10.pth,modeled_time_test,6.0,1,Brain,0.14135289192199707
fold10.pth,modeled_time_test,6.0,10,Brain,0.12950840592384338
fold10.pth,modeled_time_test,12.0,3,Brain,0.13278107345104218
fold10.pth,modeled_time_test,12.0,4,Brain,0.13213969767093658
fold10.pth,modeled_time_test,18.0,2,Brain,0.13364219665527344
fold10.pth,modeled_time_test,18.0,6,Brain,0.1428125649690628
fold10.pth,modeled_time_test,24.0,3,Brain,0.125
fold10.pth,modeled_time_test,24.0,6,Brain,0.125
fold10.pth,unseen_time_test,0.33333,1,Brain,0.13759829103946686
fold10.pth,unseen_time_test,0.33333,2,Brain,0.131902813911438
fold10.pth,unseen_time_test,4.0,1,Brain,0.134031280875206
fold10.pth,unseen_time_test,4.0,2,Brain,0.12750841677188873
fold10.pth,unseen_time_test,11.0,1,Brain,0.12685656547546387
fold10.pth,unseen_time_test,11.0,2,Brain,0.14231249690055847
fold10.pth,unseen_time_test,20.0,1,Brain,0.13774442672729492
fold10.pth,unseen_time_test,20.0,2,Brain,0.12499994784593582
fold2.pth,modeled_time_test,0.5,2,Brain,0.12500342726707458
fold2.pth,modeled_time_test,0.5,3,Brain,0.125
fold2.pth,modeled_time_test,1.0,4,Brain,0.1250050812959671
fold2.pth,modeled_time_test,1.0,8,Brain,0.12505200505256653
fold2.pth,modeled_time_test,2.0,7,Brain,0.12558436393737793
fold2.pth,modeled_time_test,2.0,8,Brain,0.12519432604312897
fold2.pth,modeled_time_test,3.0,1,Brain,0.1250000298023224
fold2.pth,modeled_time_test,3.0,8,Brain,0.1250060647726059
fold2.pth,modeled_time_test,6.0,1,Brain,0.12650419771671295
fold2.pth,modeled_time_test,6.0,10,Brain,0.12500016391277313
fold2.pth,modeled_time_test,12.0,3,Brain,0.12611275911331177
fold2.pth,modeled_time_test,12.0,4,Brain,0.1262725442647934
fold2.pth,modeled_time_test,18.0,2,Brain,0.12500101327896118
fold2.pth,modeled_time_test,18.0,6,Brain,0.12643945217132568
fold2.pth,modeled_time_test,24.0,3,Brain,0.125
fold2.pth,modeled_time_test,24.0,6,Brain,0.125
fold2.pth,unseen_time_test,0.33333,1,Brain,0.12502436339855194
fold2.pth,unseen_time_test,0.33333,2,Brain,0.1250072419643402
fold2.pth,unseen_time_test,4.0,1,Brain,0.12527510523796082
fold2.pth,unseen_time_test,4.0,2,Brain,0.12500080466270447
fold2.pth,unseen_time_test,11.0,1,Brain,0.1250000149011612
fold2.pth,unseen_time_test,11.0,2,Brain,0.12980356812477112
fold2.pth,unseen_time_test,20.0,1,Brain,0.12500299513339996
fold2.pth,unseen_time_test,20.0,2,Brain,0.125
fold3.pth,modeled_time_test,0.5,2,Brain,0.14281292259693146
fold3.pth,modeled_time_test,0.5,3,Brain,0.14248311519622803
fold3.pth,modeled_time_test,1.0,4,Brain,0.14270584285259247
fold3.pth,modeled_time_test,1.0,8,Brain,0.1427910327911377
fold3.pth,modeled_time_test,2.0,7,Brain,0.14245347678661346
fold3.pth,modeled_time_test,2.0,8,Brain,0.1422479897737503
fold3.pth,modeled_time_test,3.0,1,Brain,0.14228473603725433
fold3.pth,modeled_time_test,3.0,8,Brain,0.14273568987846375
fold3.pth,modeled_time_test,6.0,1,Brain,0.14285016059875488
fold3.pth,modeled_time_test,6.0,10,Brain,0.142690971493721
fold3.pth,modeled_time_test,12.0,3,Brain,0.1422669142484665
fold3.pth,modeled_time_test,12.0,4,Brain,0.14180472493171692
fold3.pth,modeled_time_test,18.0,2,Brain,0.1416003257036209
fold3.pth,modeled_time_test,18.0,6,Brain,0.14198307693004608
fold3.pth,modeled_time_test,24.0,3,Brain,0.125
fold3.pth,modeled_time_test,24.0,6,Brain,0.127680242061615
fold3.pth,unseen_time_test,0.33333,1,Brain,0.1426296979188919
fold3.pth,unseen_time_test,0.33333,2,Brain,0.1426226645708084
fold3.pth,unseen_time_test,4.0,1,Brain,0.1424551010131836
