cohort,PMI,animal_within_PMI,organ,AWA_weight
modeled_time_test,0.5,2,Brain,0.14284095168113708
modeled_time_test,0.5,3,Brain,0.14285114407539368
modeled_time_test,1.0,4,Brain,0.14284789562225342
modeled_time_test,1.0,8,Brain,0.14284853637218475
modeled_time_test,2.0,7,Brain,0.14283129572868347
modeled_time_test,2.0,8,Brain,0.14277420938014984
modeled_time_test,3.0,1,Brain,0.14280474185943604
modeled_time_test,3.0,8,Brain,0.14285045862197876
modeled_time_test,6.0,1,Brain,0.14281603693962097
modeled_time_test,6.0,10,Brain,0.14284837245941162
modeled_time_test,12.0,3,Brain,0.1428230255842209
modeled_time_test,12.0,4,Brain,0.14276838302612305
modeled_time_test,18.0,2,Brain,0.14271575212478638
modeled_time_test,18.0,6,Brain,0.14277543127536774
modeled_time_test,24.0,3,Brain,0.14248709380626678
modeled_time_test,24.0,6,Brain,0.142145574092865
unseen_time_test,0.33333,1,Brain,0.14284174144268036
unseen_time_test,0.33333,2,Brain,0.14284805953502655
unseen_time_test,4.0,1,Brain,0.14284895360469818
unseen_time_test,4.0,2,Brain,0.14284983277320862
unseen_time_test,11.0,1,Brain,0.1428488940000534
unseen_time_test,11.0,2,Brain,0.1428416669368744
unseen_time_test,20.0,1,Brain,0.14284707605838776
unseen_time_test,20.0,2,Brain,0.12500198185443878
modeled_time_test,0.5,2,Heart,0.14284095168113708
modeled_time_test,0.5,3,Heart,0.14285114407539368
modeled_time_test,1.0,4,Heart,0.14284789562225342
modeled_time_test,1.0,8,Heart,0.14284853637218475
modeled_time_test,2.0,7,Heart,0.14283129572868347
modeled_time_test,2.0,8,Heart,0.14277420938014984
modeled_time_test,3.0,1,Heart,0.14280474185943604
modeled_time_test,3.0,8,Heart,0.14285045862197876
modeled_time_test,6.0,1,Heart,0.14281603693962097
modeled_time_test,6.0,10,Heart,0.14284837245941162
modeled_time_test,12.0,3,Heart,0.1428230255842209
modeled_time_test,12.0,4,Heart,0.14276838302612305
modeled_time_test,18.0,2,Heart,0.14271575212478638
modeled_time_test,18.0,6,Heart,0.14277543127536774
modeled_time_test,24.0,3,Heart,0.14248709380626678
modeled_time_test,24.0,6,Heart,0.142145574092865
unseen_time_test,0.33333,1,Heart,0.14284174144268036
unseen_time_test,0.33333,2,Heart,0.14284805953502655
unseen_time_test,4.0,1,Heart,0.14284895360469818
unseen_time_test,4.0,2,Heart,0.14284983277320862
unseen_time_test,11.0,1,Heart,0.1428488940000534
unseen_time_test,11.0,2,Heart,0.1428416669368744
unseen_time_test,20.0,1,Heart,0.14284707605838776
unseen_time_test,20.0,2,Heart,0.12500198185443878
modeled_time_test,0.5,2,Kidney,0.14284095168113708
modeled_time_test,0.5,3,Kidney,0.14285114407539368
modeled_time_test,1.0,4,Kidney,0.14284789562225342
modeled_time_test,1.0,8,Kidney,0.14284853637218475
modeled_time_test,2.0,7,Kidney,0.14283129572868347
modeled_time_test,2.0,8,Kidney,0.14277420938014984
modeled_time_test,3.0,1,Kidney,0.14280474185943604
modeled_time_test,3.0,8,Kidney,0.14285045862197876
modeled_time_test,6.0,1,Kidney,0.14281603693962097
modeled_time_test,6.0,10,Kidney,0.14284837245941162
modeled_time_test,12.0,3,Kidney,0.1428230255842209
modeled_time_test,12.0,4,Kidney,0.14276838302612305
modeled_time_test,18.0,2,Kidney,0.14271575212478638
modeled_time_test,18.0,6,Kidney,0.14277543127536774
modeled_time_test,24.0,3,Kidney,0.14248709380626678
modeled_time_test,24.0,6,Kidney,0.142145574092865
unseen_time_test,0.33333,1,Kidney,0.14284174144268036
unseen_time_test,0.33333,2,Kidney,0.14284805953502655
unseen_time_test,4.0,1,Kidney,0.14284895360469818
unseen_time_test,4.0,2,Kidney,0.14284983277320862
unseen_time_test,11.0,1,Kidney,0.1428488940000534
unseen_time_test,11.0,2,Kidney,0.1428416669368744
unseen_time_test,20.0,1,Kidney,0.14284707605838776
unseen_time_test,20.0,2,Kidney,0.12500198185443878
modeled_time_test,0.5,2,Liver,0.14284095168113708
modeled_time_test,0.5,3,Liver,0.14285114407539368
modeled_time_test,1.0,4,Liver,0.14284789562225342
modeled_time_test,1.0,8,Liver,0.14284853637218475
modeled_time_test,2.0,7,Liver,0.14283129572868347
modeled_time_test,2.0,8,Liver,0.14277420938014984
modeled_time_test,3.0,1,Liver,0.14280474185943604
modeled_time_test,3.0,8,Liver,0.14285045862197876
modeled_time_test,6.0,1,Liver,0.14281603693962097
modeled_time_test,6.0,10,Liver,0.14284837245941162
modeled_time_test,12.0,3,Liver,0.1428230255842209
modeled_time_test,12.0,4,Liver,0.14276838302612305
modeled_time_test,18.0,2,Liver,0.14271575212478638
modeled_time_test,18.0,6,Liver,0.14277543127536774
modeled_time_test,24.0,3,Liver,0.14248709380626678
modeled_time_test,24.0,6,Liver,0.142145574092865
unseen_time_test,0.33333,1,Liver,0.14284174144268036
unseen_time_test,0.33333,2,Liver,0.14284805953502655
unseen_time_test,4.0,1,Liver,0.14284895360469818
unseen_time_test,4.0,2,Liver,0.14284983277320862
unseen_time_test,11.0,1,Liver,0.1428488940000534
unseen_time_test,11.0,2,Liver,0.1428416669368744
unseen_time_test,20.0,1,Liver,0.14284707605838776
unseen_time_test,20.0,2,Liver,0.12500198185443878
modeled_time_test,0.5,2,Lung,0.14284095168113708
modeled_time_test,0.5,3,Lung,0.14285114407539368
modeled_time_test,1.0,4,Lung,0.14284789562225342
modeled_time_test,1.0,8,Lung,0.14284853637218475
modeled_time_test,2.0,7,Lung,0.14283129572868347
modeled_time_test,2.0,8,Lung,0.14277420938014984
modeled_time_test,3.0,1,Lung,0.14280474185943604
modeled_time_test,3.0,8,Lung,0.14285045862197876
modeled_time_test,6.0,1,Lung,0.14281603693962097
modeled_time_test,6.0,10,Lung,0.14284837245941162
modeled_time_test,12.0,3,Lung,0.1428230255842209
modeled_time_test,12.0,4,Lung,0.14276838302612305
modeled_time_test,18.0,2,Lung,0.14271575212478638
modeled_time_test,18.0,6,Lung,0.14277543127536774
modeled_time_test,24.0,3,Lung,0.14248709380626678
modeled_time_test,24.0,6,Lung,0.142145574092865
unseen_time_test,0.33333,1,Lung,0.14284174144268036
unseen_time_test,0.33333,2,Lung,0.14284805953502655
unseen_time_test,4.0,1,Lung,0.14284895360469818
unseen_time_test,4.0,2,Lung,0.14284983277320862
unseen_time_test,11.0,1,Lung,0.1428488940000534
unseen_time_test,11.0,2,Lung,0.1428416669368744
unseen_time_test,20.0,1,Lung,0.14284707605838776
unseen_time_test,20.0,2,Lung,0.12500198185443878
modeled_time_test,0.5,2,Muscle,0.14284095168113708
modeled_time_test,0.5,3,Muscle,0.14285114407539368
modeled_time_test,1.0,4,Muscle,0.14284789562225342
modeled_time_test,1.0,8,Muscle,0.14284853637218475
modeled_time_test,2.0,7,Muscle,0.14283129572868347
modeled_time_test,2.0,8,Muscle,0.14277420938014984
modeled_time_test,3.0,1,Muscle,0.14280474185943604
modeled_time_test,3.0,8,Muscle,0.14285045862197876
modeled_time_test,6.0,1,Muscle,0.14281603693962097
modeled_time_test,6.0,10,Muscle,0.14284837245941162
modeled_time_test,12.0,3,Muscle,0.1428230255842209
modeled_time_test,12.0,4,Muscle,0.14276838302612305
modeled_time_test,18.0,2,Muscle,0.14271575212478638
modeled_time_test,18.0,6,Muscle,0.14277543127536774
modeled_time_test,24.0,3,Muscle,0.14248709380626678
modeled_time_test,24.0,6,Muscle,0.142145574092865
unseen_time_test,0.33333,1,Muscle,0.14284174144268036
unseen_time_test,0.33333,2,Muscle,0.14284805953502655
unseen_time_test,4.0,1,Muscle,0.14284895360469818
unseen_time_test,4.0,2,Muscle,0.14284983277320862
unseen_time_test,11.0,1,Muscle,0.1428488940000534
unseen_time_test,11.0,2,Muscle,0.1428416669368744
unseen_time_test,20.0,1,Muscle,0.14284707605838776
unseen_time_test,20.0,2,Muscle,0.12500198185443878
modeled_time_test,0.5,2,Spleen,0.14284095168113708
modeled_time_test,0.5,3,Spleen,0.14285114407539368
modeled_time_test,1.0,4,Spleen,0.14284789562225342
modeled_time_test,1.0,8,Spleen,0.14284853637218475
modeled_time_test,2.0,7,Spleen,0.14283129572868347
modeled_time_test,2.0,8,Spleen,0.14277420938014984
modeled_time_test,3.0,1,Spleen,0.14280474185943604
modeled_time_test,3.0,8,Spleen,0.14285045862197876
modeled_time_test,6.0,1,Spleen,0.14281603693962097
modeled_time_test,6.0,10,Spleen,0.14284837245941162
modeled_time_test,12.0,3,Spleen,0.1428230255842209
modeled_time_test,12.0,4,Spleen,0.14276838302612305
modeled_time_test,18.0,2,Spleen,0.14271575212478638
modeled_time_test,18.0,6,Spleen,0.14277543127536774
modeled_time_test,24.0,3,Spleen,0.14248709380626678
modeled_time_test,24.0,6,Spleen,0.142145574092865
unseen_time_test,0.33333,1,Spleen,0.14284174144268036
unseen_time_test,0.33333,2,Spleen,0.14284805953502655
unseen_time_test,4.0,1,Spleen,0.14284895360469818
unseen_time_test,4.0,2,Spleen,0.14284983277320862
unseen_time_test,11.0,1,Spleen,0.1428488940000534
unseen_time_test,11.0,2,Spleen,0.1428416669368744
unseen_time_test,20.0,1,Spleen,0.14284707605838776
unseen_time_test,20.0,2,Spleen,0.12500198185443878
modeled_time_test,0.5,2,VH,0.00011335217277519405
modeled_time_test,0.5,3,VH,4.197514499537647e-05
modeled_time_test,1.0,4,VH,6.469323125202209e-05
modeled_time_test,1.0,8,VH,6.026025948813185e-05
modeled_time_test,2.0,7,VH,0.00018098413420375437
modeled_time_test,2.0,8,VH,0.000580500578507781
modeled_time_test,3.0,1,VH,0.0003667876299005002
modeled_time_test,3.0,8,VH,4.682095823227428e-05
modeled_time_test,6.0,1,VH,0.0002876933722291142
modeled_time_test,6.0,10,VH,6.135432340670377e-05
modeled_time_test,12.0,3,VH,0.00023886776762083173
modeled_time_test,12.0,4,VH,0.0006213668966665864
modeled_time_test,18.0,2,VH,0.000989724649116397
modeled_time_test,18.0,6,VH,0.0005720472545363009
modeled_time_test,24.0,3,VH,0.002590316580608487
modeled_time_test,24.0,6,VH,0.004980996251106262
unseen_time_test,0.33333,1,VH,0.0001077928754966706
unseen_time_test,0.33333,2,VH,6.353117350954562e-05
unseen_time_test,4.0,1,VH,5.734146907343529e-05
unseen_time_test,4.0,2,VH,5.1121962314937264e-05
unseen_time_test,11.0,1,VH,5.775332829216495e-05
unseen_time_test,11.0,2,VH,0.0001083273091353476
unseen_time_test,20.0,1,VH,7.04943377058953e-05
unseen_time_test,20.0,2,VH,0.1249861940741539
